,station_id,status,target,mp,mr,mt
104,497,empty,y_30m,err,err,err
105,497,full,y_30m,err,err,err
106,497,empty,y_60m,0.0,,0.05285160124738981
107,497,full,y_60m,0.6379585326953748,0.9501187648456056,0.22604808448471508
108,504,empty,y_30m,err,err,err
109,504,full,y_30m,err,err,err
110,504,empty,y_60m,0.5205761316872428,0.9656488549618321,0.1480263612612343
111,504,full,y_60m,0.2647058823529412,1.0,0.2940926733292
112,507,empty,y_30m,err,err,err
113,507,full,y_30m,err,err,err
114,507,empty,y_60m,0.39171974522292996,0.9534883720930233,0.20130055871887892
115,507,full,y_60m,0.16666666666666666,1.0,0.26940923932085287
116,509,empty,y_30m,err,err,err
117,509,full,y_30m,err,err,err
118,509,empty,y_60m,0.268370607028754,0.9545454545454546,0.014769186720207755
119,509,full,y_60m,0.3972972972972973,0.9545454545454546,0.12597910461716205
120,511,empty,y_30m,err,err,err
121,511,full,y_30m,err,err,err
122,511,empty,y_60m,0.35989717223650386,0.9523809523809523,0.024222010480530246
123,511,full,y_60m,0.09120521172638436,1.0,0.028418525747561537
124,518,empty,y_30m,err,err,err
125,518,full,y_30m,err,err,err
126,518,empty,y_60m,0.39805825242718446,0.9590643274853801,0.26321552980895
127,518,full,y_60m,0.19886363636363635,0.9722222222222222,0.0037172840959830166
128,519,empty,y_30m,err,err,err
129,519,full,y_30m,err,err,err
130,519,empty,y_60m,0.3142292490118577,0.9520958083832335,0.2431497781624942
131,519,full,y_60m,0.4305555555555556,0.9587628865979382,0.04098308738214749
132,527,empty,y_30m,err,err,err
133,527,full,y_30m,err,err,err
134,527,empty,y_60m,0.5555555555555556,1.0,0.08774763453520494
135,527,full,y_60m,0.168141592920354,0.95,0.0956108180589057
136,531,empty,y_30m,err,err,err
137,531,full,y_30m,err,err,err
138,531,empty,y_60m,0.3715277777777778,0.9553571428571429,0.02241668917112535
139,531,full,y_60m,0.22413793103448276,1.0,0.10074061652861664
140,540,empty,y_30m,err,err,err
141,540,full,y_30m,err,err,err
142,540,empty,y_60m,0.27848101265822783,0.9565217391304348,0.15519861662257267
143,540,full,y_60m,0.2644628099173554,0.9504950495049505,0.04258928210955111
